Sample ID,Location,Sampling Date,Sampling Time,Pb (mg/dL),Cd (mg/dL),As (mg/dL),X (UTM),Y (UTM),Elevation (m),Point No.,Animal,Mean Pb (mg/dl),Mean Cd (mg/dl),Mean As (mg/dl)
Blood No. 1,Río Pilaya,09-10-2005,10:42,0.2,0.18,0.86,372486.5,7660543.8,814,1,Cow,0.1185714286,0.2157142857,0.79
Blood No. 2,Río Pilaya,09-10-2005,10:46,0.13,0.12,0.59,372486.5,7660543.8,814,1,Donkey,0.1185714286,0.2157142857,0.79
Blood No. 3,Río Pilaya,09-10-2005,10:50,0.04,0.37,0.86,372486.5,7660543.8,814,1,Donkey,0.1185714286,0.2157142857,0.79
Blood No. 4,Río Pilaya,09-10-2005,10:55,0.06,0.4,0.9,372486.5,7660543.8,814,1,Donkey,0.1185714286,0.2157142857,0.79
Blood No. 5,Río Pilaya,09-10-2005,11:01,0.2,0.18,0.91,372486.5,7660543.8,814,1,Cow,0.1185714286,0.2157142857,0.79
Blood No. 6,Río Pilaya,09-10-2005,11:06,0.09,0.15,0.7,372486.5,7660543.8,814,1,Ox,0.1185714286,0.2157142857,0.79
Blood No. 7,Río Pilaya,09-10-2005,11:09,0.11,0.11,0.71,372486.5,7660543.8,814,1,Goat,0.1185714286,0.2157142857,0.79
Blood No. 1,Purón de Escapana,10-10-2005,8:00,0.27,0.06,0.91,267173.1,7621425.2,2431,2,Goat,0.7457142857,0.05857142857,0.9171428571
Blood No. 2,Purón de Escapana,10-10-2005,8:04,1.78,0.05,0.93,267173.1,7621425.2,2431,2,Cow,0.7457142857,0.05857142857,0.9171428571
Blood No. 3,Purón de Escapana,10-10-2005,8:09,0.6,0.09,0.99,267173.1,7621425.2,2431,2,Donkey,0.7457142857,0.05857142857,0.9171428571
Blood No. 4,Purón de Escapana,10-10-2005,8:13,0.24,0.06,0.91,267173.1,7621425.2,2431,2,Donkey,0.7457142857,0.05857142857,0.9171428571
Blood No. 5,Purón de Escapana,10-10-2005,8:16,0.4,0.06,0.74,267173.1,7621425.2,2431,2,Sheep,0.7457142857,0.05857142857,0.9171428571
Blood No. 6,Purón de Escapana,10-10-2005,8:21,1.1,0.05,0.95,267173.1,7621425.2,2431,2,Cow,0.7457142857,0.05857142857,0.9171428571
Blood No. 7,Purón de Escapana,10-10-2005,8:25,0.83,0.04,0.99,267173.1,7621425.2,2431,2,Cow,0.7457142857,0.05857142857,0.9171428571
Blood No. 1,Monte Sandoval,10-10-2005,13:55,0.82,0.07,0.94,271254.8,7656927,2311,3,Sheep,0.8685714286,0.07857142857,0.9342857143
Blood No. 2,Monte Sandoval,10-10-2005,14:00,0.24,0.05,1.01,271254.8,7656927,2311,3,Sheep,0.8685714286,0.07857142857,0.9342857143
Blood No. 3,Monte Sandoval,10-10-2005,14:05,0.9,0.13,1.18,271254.8,7656927,2311,3,Goat,0.8685714286,0.07857142857,0.9342857143
Blood No. 4,Monte Sandoval,10-10-2005,14:10,0.87,0.09,0.88,271254.8,7656927,2311,3,Goat,0.8685714286,0.07857142857,0.9342857143
Blood No. 5,Monte Sandoval,10-10-2005,14:15,1.17,0.05,0.89,271254.8,7656927,2311,3,Goat,0.8685714286,0.07857142857,0.9342857143
Blood No. 6,Monte Sandoval,10-10-2005,14:20,1.25,0.08,0.91,271254.8,7656927,2311,3,Sheep,0.8685714286,0.07857142857,0.9342857143
Blood No. 7,Monte Sandoval,10-10-2005,14:26,0.83,0.08,0.73,271254.8,7656927,2311,3,Pig,0.8685714286,0.07857142857,0.9342857143
Blood No. 1,La Vidriera,11-10-2005,8:05,1.14,0.05,1.62,268575,7700239.1,2312,4,Sheep,0.89,0.06666666667,1.725
Blood No. 2,La Vidriera,11-10-2005,8:10,0.9,0.09,1.92,268575,7700239.1,2312,4,Sheep,0.89,0.06666666667,1.725
Blood No. 3,La Vidriera,11-10-2005,8:15,0.45,0.1,1.82,268575,7700239.1,2312,4,Donkey,0.89,0.06666666667,1.725
Blood No. 4,La Vidriera,11-10-2005,8:22,1.91,NA,NA,268575,7700239.1,2312,4,Cow,0.89,0.06666666667,1.725
Blood No. 5,La Vidriera,11-10-2005,8:27,0.57,0.07,1.72,268575,7700239.1,2312,4,Cow,0.89,0.06666666667,1.725
Blood No. 6,La Vidriera,11-10-2005,8:33,0.57,0.05,1.31,268575,7700239.1,2312,4,Goat,0.89,0.06666666667,1.725
Blood No. 7,La Vidriera,11-10-2005,8:39,0.69,0.04,1.96,268575,7700239.1,2312,4,Goat,0.89,0.06666666667,1.725
Blood No. 1,La Quemada,11-10-2005,12:42,0.51,0.05,1.67,261657,7704511.3,2387,5,Donkey,0.6285714286,0.07142857143,1.835714286
Blood No. 2,La Quemada,11-10-2005,12:47,0.84,0.07,1.79,261657,7704511.3,2387,5,Donkey,0.6285714286,0.07142857143,1.835714286
Blood No. 3,La Quemada,11-10-2005,12:52,0.84,0.07,1.87,261657,7704511.3,2387,5,Goat,0.6285714286,0.07142857143,1.835714286
Blood No. 4,La Quemada,11-10-2005,12:58,0.6,0.11,1.99,261657,7704511.3,2387,5,Donkey,0.6285714286,0.07142857143,1.835714286
