Municipality,Point No.,Location,Time,Sampling Date,pH,Pb (mg/l),Hg (mg/l),As (mg/l),Cd (mg/l),Zn (mg/l),X (UTM),Y (UTM),Elevation (m)
Culpina,1,Río Pilaya,13:33,09-10-2005,8.8,0.03,0.0001,0.007,0.002,0.01,372486.5,7660543.8,814
Las Carreras,2,Puron de Escapana,9:07,10-10-2005,8.4,0.04,0.0001,0.004,0.002,0.04,267173.1,7621425.2,2431
Las Carreras,3,Monte Sandoval,15:40,10-10-2005,8.1,0.02,0.0001,0.002,0.001,0.02,271254.8,7656927,2311
Camargo,4,La Vidriera,9:30,11-10-2005,7.8,0.15,0.0001,0.03,0.004,0.29,268575,7700239.1,2312
Camargo,5,La Quemada,14:05,11-10-2005,8,0.11,0.0003,0.028,0.003,0.16,261657,7704511.3,2387
Incahuasi,6,"El Fuerte (Santa Elena, A. Conf. Pilcomayo)",10:50,12-10-2005,8.4,0.02,0.0001,0.002,0.0003,0.01,315111.1,7722376.1,1969
Incahuasi,7,"El Fuerte (Santa Elena, D. Conf. Río Pilcomayo)",10:34,12-10-2005,7.8,0.39,0.0006,0.101,0.009,1.51,339074.9,7739380.2,1327
Huacareta,8,Tabasay,9:30,11-10-2005,7.7,0.79,0.0013,0.062,0.017,2.93,394393.1,7649432.9,1077
Icla,9,Taygata,17:45,12-10-2005,8.2,0.12,0.0005,0.042,0.003,0.48,310968.9,7860111.2,2425
Yamparaés,10,Sotomayor,13:40,13-10-2005,8.4,0.05,0.0002,0.091,0.003,0.33,289876.8,7858864.5,2114
Yotala,11,Puente Méndez,9:32,14-10-2005,8.3,0.07,0.0001,0.047,0.003,0.65,255792.3,7866313.2,2362
Yotala,12,Tasapampa,12:45,14-10-2005,8.3,0.19,0.0008,0.061,0.006,0.83,262177.9,7862737.1,2297
