Municipality,Point No.,Location,Sample Type,Sampling Time,Pb (mg/kg),Sb (mg/kg),Hg (mg/kg),As (mg/kg),Cd (mg/kg),Zn (mg/kg),X (UTM),Y (UTM),Elevation (m),Date
Culpina,1,Río Pilaya,Sediment,14:55,30.5,7.33,0.017,8.72,0.82,101.94,372486.5,7660543.8,814,09-10-2005
Las Carreras,2,Purón de Escapana,Sediment,9:24,56.4,14.67,0.158,9.1,1.24,133.91,267173.1,7621425.2,2431,10-10-2005
Las Carreras,3,Monte Sandoval,Sediment,15:45,20.2,0.1,0.057,6.73,0.42,72.83,271254.8,7656927,2311,10-10-2005
Camargo,4,La Vidriera,Sediment,9:30,26.71,0.9,0.03,9.68,0.72,0.72,268575,7700239.1,2312,11-10-2005
Camargo,5,La Quemada,Sediment,9:30,31.7,2.8,0.018,7.24,0.92,139.75,261657,7704511.3,2387,11-10-2005
Incahuasi,6,El Fuerte (Santa Elena A. Conf. Pilcomayo),Sediment,10:45,14.7,2.1,0.005,4.51,0.44,40,315111.1,7722376.1,1969,12-10-2005
Incahuasi,7,El Fuerte (Santa Elena D. Conf. Río Pilcomayo),Sediment,10:37,24.15,0.9,0.003,9.43,0.76,108.12,339074.9,7739380.2,1327,12-10-2005
Huacareta,8,Tabasay,Sediment,9:40,23.42,2.05,0.044,10.23,0.71,104.12,394393.1,7649432.9,1077,11-10-2005
Icla,9,Taygata,Sediment,17:30,34.4,1.7,0.03,32.23,1.08,164.12,310968.9,7860111.2,2425,12-10-2005
Yamparaés,10,Sotomayor,Sediment,13:30,36.48,1.5,0.06,25.75,1.13,162.5,289876.8,7858864.5,2114,13-10-2005
Yotala,11,Puente Méndez,Sediment,9:38,24.36,1.39,0.09,16.19,0.77,113.49,255792.3,7866313.2,2362,14-10-2005
Yotala,12,Tasapampa,Sediment,12:30,34.39,4.17,0.05,32.7,1.21,192.87,262177.9,7862737.1,2297,14-10-2005
