Municipality,Point No.,Location,Sample Type,Sampling Time,Pb (mg/kg),Sb (mg/kg),Hg (mg/kg),As (mg/kg),Cd (mg/kg),Zn (mg/kg),X (UTM),Y (UTM),Elevation (m),Date
Culpina,1,Río Pilaya,Soil,14:20,36.17,8.13,0.092,8.96,0.92,122.71,372486.5,7660543.8,814,09-10-2005
Las Carreras,2,Puron de Escapana,Soil,10:00,63.76,10.28,0.056,9.12,1.34,186.77,267173.1,7621425.2,2431,10-10-2005
Las Carreras,3,Monte Sandoval,Soil,15:10,44.24,10.28,0.017,6.55,1.1,122.95,271254.8,7656927,2311,10-10-2005
Camargo,4,La Vidriera,Soil,10:00,46.92,7.29,0.017,11.63,1.16,194.85,268575,7700239.1,2312,11-10-2005
Camargo,5,La Quemada,Soil,14:30,64.92,12.79,0.088,10.87,1.35,233.73,261657,7704511.3,2387,11-10-2005
Incahuasi,6,El Fuerte (Santa Elena A. Conf. Pilcomayo),Soil,12:50,32.71,6.15,0.017,4.47,0.76,82.87,315111.1,7722376.1,1969,12-10-2005
Huacareta,8,Tabasay,Soil,10:30,2311.5,5.95,0.007,6.69,0.63,71.12,394393.1,7649432.9,1077,11-10-2005
Icla,9,Taygata,Soil,16:45,37.92,6.4,0.035,9.05,1.06,96.36,310968.9,7860111.2,2425,12-10-2005
Yamparaés,10,Sotomayor,Soil,14:50,46.12,0.5,0.01,6.78,1.13,177.73,289876.8,7858864.5,2114,13-10-2005
Yotala,11,Puente Méndez,Soil,14:50,21.51,3.18,0.02,20.82,0.7,86.37,255792.3,7866313.2,2362,14-10-2005
Yotala,12,Tasapampa,Soil,12:50,15.05,5.32,0.02,5.06,0.49,34,262177.9,7862737.1,2297,14-10-2005
