Municipality,Point No.,Location,X (UTM),Y (UTM),Elevation (m),Crop,Date,Pb (mg/kg),Sb (mg/kg),Hg (mg/kg),As (mg/kg),Cd (mg/kg),Zn (mg/kg)
Culpina,1,Río Pilaya,372486.5,7660543.8,814,Onion,09-10-2005,5.43,34.9,<0.005,0.35,0.45,29.3
Culpina,1,Río Pilaya,372486.5,7660543.8,814,Tomato,09-10-2005,2.29,19.4,<0.005,0.46,0,20.4
Las Carreras,2,Purón de Escapana,267173.1,7621425.2,2431,Fava Bean,10-10-2005,2.29,44.8,<0.005,2.34,0.1,53.1
Las Carreras,2,Purón de Escapana,267173.1,7621425.2,2431,Onion,10-10-2005,7.17,10.5,<0.005,2.34,0.55,27.3
Las Carreras,3,Monte Sandoval,271254.8,7656927,2311,Onion,10-10-2005,6.98,48.8,<0.005,0.81,0.45,28.5
Las Carreras,3,Monte Sandoval,271254.8,7656927,2311,Carrot,10-10-2005,4.9,36.5,<0.005,0.91,0,16.9
Camargo,4,La Vidriera,268575,7700239.1,2312,Lettuce,11-10-2005,8.33,36.9,<0.005,5.54,0.7,90.5
Camargo,4,La Vidriera,268575,7700239.1,2312,Swiss Chard,11-10-2005,8.16,35.8,<0.005,5.43,0.6,47.1
Camargo,5,La Quemada,261657,7704511.3,2387,Swiss Chard,11-10-2005,6.46,49.2,<0.005,5.37,0.25,50.6
Camargo,5,La Quemada,261657,7704511.3,2387,Onion,11-10-2005,5.08,58.7,<0.005,5.37,0.75,29.7
Incahuasi,6,El Fuerte (Santa Elena A. Conf. Pilcomayo),315111.1,7722376.1,1969,Lettuce,12-10-2005,6.59,66.4,<0.005,2.14,0.75,83.2
Incahuasi,6,El Fuerte (Santa Elena A. Conf. Pilcomayo),315111.1,7722376.1,1969,Cabbage,12-10-2005,2.49,39.4,<0.005,2.13,0.1,28.3
Huacareta,8,Tabasay,394393.1,7649432.9,1077,Corn,11-10-2005,4.5,37.6,<0.005,2.14,0.15,33.6
Icla,9,Taygata,310968.9,7860111.2,2425,Onion,12-10-2005,0.85,23.9,<0.005,2.88,0.08,42.7
Icla,9,Taygata,310968.9,7860111.2,2425,Fava Bean,12-10-2005,1.31,34.9,<0.005,2.88,0.12,55.8
Yamparaés,10,Sotomayor,289876.8,7858864.5,2114,Carrot,13-10-2005,3.45,46.6,<0.005,3.85,0.2,26
Yamparaés,10,Sotomayor,289876.8,7858864.5,2114,Onion,13-10-2005,5.38,36.3,<0.005,3.84,0.15,32.3
Yotala,11,Puente Méndez,255792.3,7866313.2,2362,Lettuce,14-10-2005,15,25.8,<0.005,12.6,1.09,73.8
Yotala,11,Puente Méndez,255792.3,7866313.2,2362,Beet,14-10-2005,2.35,51.3,<0.005,12,0.42,35.6
Yotala,12,Tasapampa,262177.9,7862737.1,2297,Carrot,14-10-2005,9.5,30.7,<0.005,2.36,0.78,20.4
Yotala,12,Tasapampa,262177.9,7862737.1,2297,Onion,14-10-2005,4.21,24.9,<0.005,2.34,0.72,34.4
