Estación,,Tarapaya,Colavi - Canutillos,Viña Quemada,Talula - Automática,Tacobamba - Agua arriba confluencia Pilcomayo - Tacobamba,Pilcomayo - Agua arriba confluencia Pilcomayo - Tacobamba,Palca Grande,El Puente,Villamontes,Misión La Paz - SNIH,Tinfunke,General Bruguez,Clorinda,Ruta 11,Puente Loyola,Villa Hayes,Ruta 95,Salida Laguna Salada,Ruta 28-Vertedero,El Potrillo,La Quiaca,Liviara,Chuquiago,La Angostura,Cotagaita,Tumusla,Yocalla,Colavi - Canutillos,Puente Mendez,Viña Quemada,Talula - Automática,Tarapaya,San Antonio - Potosí,Potosí - Naciente río La Ribera,Tacobamba - Agua arriba confluencia Pilcomayo - Tacobamba,Pilcomayo - Agua arriba confluencia Pilcomayo - Tacobamba,Palca Grande,El Puente,San Josecito,Puente Aruma - Automática,Villamontes,Misión La Paz - SNIH,Montelindo en ruta PY09,General Díaz,Hacienda 9 de junio,Meyer Sitio 01,María Cristina,Agropil,El Solitario
Código,,BTA-050,BC7-113,BVQ-122,BTL-119,BTC-116,BPT-118,BPG-110,BEP-100,BVI-150,AML-170,PTI-204,PGB-250,ACL-310,AR11-290,APL-320,PVH-280,AR95-220,ASL-270,AR28-300,AEP-180,ALQ-040,ALI-020,BCH-060,BTP-090,BCO-070,BTU-080,BYO-025,BC7-113,BPM-120,BVQ-122,BTL-119,BTA-050,BSA-030,BNR-010,BTC-116,BPT-118,BPG-110,BEP-100,BSJ-130,BPA-140,BVI-150,AML-170,PR9M-260,PGD-200,P9J-198,PCM-191,AMC-190,PAG-196,PES-194
Fecha,,23/06/2024,23/06/2024,22/06/2024,21/06/2024,20/06/2024,20/06/2024,19/06/2024,19/06/2024,16/06/2024,16/06/2024,29/04/2024,19/03/2024,19/03/2024,19/03/2024,15/03/2024,15/03/2024,14/03/2024,14/03/2024,14/03/2024,13/03/2024,29/02/2024,29/02/2024,28/02/2024,28/02/2024,28/02/2024,27/02/2024,27/02/2024,25/02/2024,25/02/2024,24/02/2024,23/02/2024,22/02/2024,22/02/2024,22/02/2024,21/02/2024,21/02/2024,20/02/2024,20/02/2024,19/02/2024,19/02/2024,18/02/2024,18/02/2024,13/02/2024,08/02/2024,08/02/2024,07/02/2024,07/02/2024,06/02/2024,06/02/2024
Hora,,15:55,12:30,11:30,12:20,15:40,12:55,16:00,13:35,14:05,07:05,09:00,15:15,10:30,09:00,09:40,08:30,16:40,13:40,09:50,10:15,15:05,09:50,15:30,13:40,09:30,16:05,10:10,14:35,10:00,11:35,10:45,13:45,10:15,08:35,15:20,11:05,15:05,12:25,17:05,10:20,13:10,07:30,12:55,14:20,11:05,09:10,07:35,14:35,09:05
Campaña,,Junio 2024,Junio 2024,Junio 2024,Junio 2024,Junio 2024,Junio 2024,Junio 2024,Junio 2024,Junio 2024,Junio 2024,Abril 2024,Marzo 2024,Marzo 2024,Marzo 2024,Marzo 2024,Marzo 2024,Marzo 2024,Marzo 2024,Marzo 2024,Marzo 2024,Febrero 2024,Febrero 2024,Febrero 2024,Febrero 2024,Febrero 2024,Febrero 2024,Febrero 2024,Febrero 2024,Febrero 2024,Febrero 2024,Febrero 2024,Febrero 2024,Febrero 2024,Febrero 2024,Febrero 2024,Febrero 2024,Febrero 2024,Febrero 2024,Febrero 2024,Febrero 2024,Febrero 2024,Febrero 2024,Febrero 2024,Febrero 2024,Febrero 2024,Febrero 2024,Febrero 2024,Febrero 2024,Febrero 2024
Responsable,,Unidad de Monitoreo y Centro de Datos,Unidad de Monitoreo y Centro de Datos,Unidad de Monitoreo y Centro de Datos,Unidad de Monitoreo y Centro de Datos,Unidad de Monitoreo y Centro de Datos,Unidad de Monitoreo y Centro de Datos,Unidad de Monitoreo y Centro de Datos,Unidad de Monitoreo y Centro de Datos,Unidad de Monitoreo y Centro de Datos,Unidad de Monitoreo y Centro de Datos,Unidad de Monitoreo y Centro de Datos,Unidad de Monitoreo y Centro de Datos,Unidad de Monitoreo y Centro de Datos,Unidad de Monitoreo y Centro de Datos,Unidad de Monitoreo y Centro de Datos,Unidad de Monitoreo y Centro de Datos,Unidad de Monitoreo y Centro de Datos,Unidad de Monitoreo y Centro de Datos,Unidad de Monitoreo y Centro de Datos,Unidad de Monitoreo y Centro de Datos,Unidad de Monitoreo y Centro de Datos,Unidad de Monitoreo y Centro de Datos,Unidad de Monitoreo y Centro de Datos,Unidad de Monitoreo y Centro de Datos,Unidad de Monitoreo y Centro de Datos,Unidad de Monitoreo y Centro de Datos,Unidad de Monitoreo y Centro de Datos,Unidad de Monitoreo y Centro de Datos,Unidad de Monitoreo y Centro de Datos,Unidad de Monitoreo y Centro de Datos,Unidad de Monitoreo y Centro de Datos,Unidad de Monitoreo y Centro de Datos,Unidad de Monitoreo y Centro de Datos,Unidad de Monitoreo y Centro de Datos,Unidad de Monitoreo y Centro de Datos,Unidad de Monitoreo y Centro de Datos,Unidad de Monitoreo y Centro de Datos,Unidad de Monitoreo y Centro de Datos,Unidad de Monitoreo y Centro de Datos,Unidad de Monitoreo y Centro de Datos,Unidad de Monitoreo y Centro de Datos,Unidad de Monitoreo y Centro de Datos,Unidad de Monitoreo y Centro de Datos,Unidad de Monitoreo y Centro de Datos,Unidad de Monitoreo y Centro de Datos,Unidad de Monitoreo y Centro de Datos,Unidad de Monitoreo y Centro de Datos,Unidad de Monitoreo y Centro de Datos,Unidad de Monitoreo y Centro de Datos
Institución,,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo
Río,,Tarapaya,Colavi,Pilcomayo,Pilcomayo,Tacobamba,Pilcomayo,Tumusla,San Juan del Oro,Pilcomayo,Pilcomayo,Pilcomayo,Pilcomayo,Porteño,Montelindo,Pilcomayo,Confuso,Montelindo,Salada,La Estrella,La Estrella,La Quiaca,Orosmayo,San Juan del Oro,Tupiza,Cotagaita,Tumusla,Pilcomayo,Colavi,Pilcomayo,Pilcomayo,Pilcomayo,Tarapaya,Aljamayu,De la Ribera,Tacobamba,Pilcomayo,Tumusla,San Juan del Oro,Pilaya,Pilcomayo,Pilcomayo,Pilcomayo,Montelindo,Pilcomayo,Pilcomayo,Pilcomayo Medio Embocadura - Canal Paraguayo,La Estrella,Pilcomayo,Pilcomayo
Cuenca,,Unidad 1,Unidad 1,Unidad 2,Unidad 1,,,Unidad 4,Unidad 5,Unidad 7,Cuenca Baja,,Chaco Paraguayo,El Porteño,,Cuenca Paraguay,,,,Bañado La Estrella,Bañado La Estrella,Unidad 5,,Unidad 5,Unidad 5,Unidad 4,Unidad 4,Unidad 1,Unidad 1,Unidad 2,Unidad 2,Unidad 1,Unidad 1,Unidad 1,Unidad 1,,,Unidad 4,Unidad 5,Unidad 6,Unidad 7,Unidad 7,Cuenca Baja,,Chaco Paraguayo,,,Bañado La Estrella,,
Latitud,,"19° 28' 18.72""","19° 19' 17.23""","19° 24' 27.59""","19° 07' 48.93""","19° 11' 23.74""","19° 07' 56.06""","20° 44' 32.77""","21° 14' 21.84""","21° 15' 31.72""","22° 22' 41.2""","23° 45' 31.69""","24° 44' 53.84""","25° 15' 55.55""","25° 47' 18.09""","25° 15' 50.87""","25° 6' 26.07""","25° 08' 55.33""","24° 41' 46.77""","24° 21' 31.03""","23° 8' 17.81""","22° 5' 51,70""","22° 31' 47.84""","21° 33' 41.01""","21° 28' 9.11""","20° 49' 15.87""","20° 29' 13.2""","19° 23' 45.62""","19° 19' 16.72""","19° 21' 29.36""","19° 27' 12.69""","19° 7' 51.09""","19° 28' 18.50""","19° 34' 41.41""","19° 35' 51.48""","19° 12' 28.9""","19° 7' 56.3""","20° 44' 32.41""","21° 14' 21.66""","21° 9' 5.24""","20° 54' 49.78""","21° 15' 31.75""","22° 22' 40.37""","23° 53' 35.48""","23° 34' 35.75""","23° 27' 7.14""","22° 42' 44.01""","22° 42' 0.69""","23° 10' 11.26""","22° 51' 36.37"""
