Estación,,Tarapaya,,,,,,Colavi - Canutillos,,,Viña Quemada,,,Talula - Automática,,,,,,Tacobamba - Agua arriba confluencia Pilcomayo - Tacobamba,,,Pilcomayo - Agua arriba confluencia Pilcomayo - Tacobamba,,,Palca Grande,,,El Puente,,,Villamontes,,,Misión La Paz - SNIH,,,El Potrillo,,,Chuquiago,,,La Angostura,,,Cotagaita,,,Tumusla,,,Yocalla,,,Colavi - Canutillos,,,Puente Mendez,,,Viña Quemada,,,Talula - Automática,,,Tarapaya,,,San Antonio - Potosí,,,Tacobamba - Agua arriba confluencia Pilcomayo - Tacobamba,,,Pilcomayo - Agua arriba confluencia Pilcomayo - Tacobamba,,,Palca Grande,,,El Puente,,,San Josecito,,,Puente Aruma - Automática,,,Villamontes,,,Misión La Paz - SNIH,,,Hacienda 9 de junio,,,,,,Meyer Sitio 01,,,,,,María Cristina,,,Agropil,,,El Solitario,
Fecha,,23/06/2024,,,,,,23/06/2024,,,22/06/2024,,,21/06/2024,,,,,,20/06/2024,,,20/06/2024,,,19/06/2024,,,19/06/2024,,,16/06/2024,,,16/06/2024,,,13/03/2024,,,28/02/2024,,,28/02/2024,,,28/02/2024,,,27/02/2024,,,27/02/2024,,,25/02/2024,,,25/02/2024,,,24/02/2024,,,23/02/2024,,,22/02/2024,,,22/02/2024,,,21/02/2024,,,21/02/2024,,,20/02/2024,,,20/02/2024,,,19/02/2024,,,19/02/2024,,,18/02/2024,,,18/02/2024,,,08/02/2024,,,,,,07/02/2024,,,,,,07/02/2024,,,06/02/2024,,,06/02/2024,
Hora,,15:55,,,,,,12:30,,,11:30,,,12:20,,,,,,15:40,,,12:55,,,16:00,,,13:35,,,14:05,,,07:05,,,10:15,,,15:30,,,13:40,,,09:30,,,16:05,,,10:10,,,14:35,,,10:00,,,11:35,,,10:45,,,13:45,,,10:15,,,15:20,,,11:05,,,15:05,,,12:25,,,17:05,,,10:20,,,13:10,,,07:30,,,11:05,,,,,,09:10,,,,,,07:35,,,14:35,,,09:05,
Campaña,,Junio 2024,,,,,,Junio 2024,,,Junio 2024,,,Junio 2024,,,,,,Junio 2024,,,Junio 2024,,,Junio 2024,,,Junio 2024,,,Junio 2024,,,Junio 2024,,,Marzo 2024,,,Febrero 2024,,,Febrero 2024,,,Febrero 2024,,,Febrero 2024,,,Febrero 2024,,,Febrero 2024,,,Febrero 2024,,,Febrero 2024,,,Febrero 2024,,,Febrero 2024,,,Febrero 2024,,,Febrero 2024,,,Febrero 2024,,,Febrero 2024,,,Febrero 2024,,,Febrero 2024,,,Febrero 2024,,,Febrero 2024,,,Febrero 2024,,,Febrero 2024,,,,,,Febrero 2024,,,,,,Febrero 2024,,,Febrero 2024,,,Febrero 2024,
Institución,,DE - CTN,,,,,,DE - CTN,,,DE - CTN,,,DE - CTN,,,,,,DE - CTN,,,DE - CTN,,,DE - CTN,,,DE - CTN,,,DE - CTN,,,DE - CTN,,,DE - CTN,,,DE - CTN,,,DE - CTN,,,DE - CTN,,,DE - CTN,,,DE - CTN,,,DE - CTN,,,DE - CTN,,,DE - CTN,,,DE - CTN,,,DE - CTN,,,DE - CTN,,,DE - CTN,,,DE - CTN,,,DE - CTN,,,DE - CTN,,,DE - CTN,,,DE - CTN,,,DE - CTN,,,DE - CTN,,,DE - CTN,,,,,,DE - CTN,,,,,,DE - CTN,,,DE - CTN,,,DE - CTN,
Río,,Tarapaya,,,,,,Colavi,,,Pilcomayo,,,Pilcomayo,,,,,,Tacobamba,,,Pilcomayo,,,Tumusla,,,San Juan del Oro,,,Pilcomayo,,,Pilcomayo,,,La Estrella,,,San Juan del Oro,,,Tupiza,,,Cotagaita,,,Tumusla,,,Pilcomayo,,,Colavi,,,Pilcomayo,,,Pilcomayo,,,Pilcomayo,,,Tarapaya,,,Aljamayu,,,Tacobamba,,,Pilcomayo,,,Tumusla,,,San Juan del Oro,,,Pilaya,,,Pilcomayo,,,Pilcomayo,,,Pilcomayo,,,Pilcomayo,,,,,,Pilcomayo Medio Embocadura - Canal Paraguayo,,,,,,La Estrella,,,Pilcomayo,,,Pilcomayo,
Latitud,,"19° 28' 18.72""",,,,,,"19° 19' 17.23""",,,"19° 24' 27.59""",,,"19° 07' 48.93""",,,,,,"19° 11' 23.74""",,,"19° 07' 56.06""",,,"20° 44' 32.77""",,,"21° 14' 21.84""",,,"21° 15' 31.72""",,,"22° 22' 41.2""",,,"23° 8' 17.81""",,,"21° 33' 41.01""",,,"21° 28' 9.11""",,,"20° 49' 15.87""",,,"20° 29' 13.2""",,,"19° 23' 45.62""",,,"19° 19' 16.72""",,,"19° 21' 29.36""",,,"19° 27' 12.69""",,,"19° 7' 51.09""",,,"19° 28' 18.50""",,,"19° 34' 41.41""",,,"19° 12' 28.9""",,,"19° 7' 56.3""",,,"20° 44' 32.41""",,,"21° 14' 21.66""",,,"21° 9' 5.24""",,,"20° 54' 49.78""",,,"21° 15' 31.75""",,,"22° 22' 40.37""",,,"23° 27' 7.14""",,,,,,"22° 42' 44.01""",,,,,,"22° 42' 0.69""",,,"23° 10' 11.26""",,,"22° 51' 36.37""",
Longitud,,"65° 47' 39.43""",,,,,,"65° 33' 7.31""",,,"64° 51' 47.99""",,,"65° 27' 4.31""",,,,,,"65° 32' 56.64""",,,"65° 34' 20.15""",,,"65° 14' 25.60""",,,"65° 12' 32.96""",,,"63° 30' 41.45""",,,"62° 31' 7.01""",,,"61° 57' 51.20""",,,"65° 38' 51.89""",,,"65° 42' 53.17""",,,"65° 39' 57.9""",,,"65° 37' 3.73""",,,"65° 54' 24.14""",,,"65° 33' 6.78""",,,"65° 10' 21.62""",,,"64° 50' 27.98""",,,"65° 27' 1.96""",,,"65° 47' 39.68""",,,"65° 48' 12.20""",,,"65° 33' 12.2""",,,"65° 34' 20.12""",,,"65° 14' 25.67""",,,"65° 12' 32.67""",,,"64° 14' 17.88""",,,"64° 6' 37.74""",,,"63° 30' 41.77""",,,"62° 31' 6.71""",,,"60° 52' 19.21""",,,,,,"62° 9' 19.84""",,,,,,"62° 11' 35.15""",,,"61° 37' 29.15""",,,"62° 1' 9.01""",
Velocidad Media,m/s,0.728,,,,,,0.411,,,0.512,,,1.39,,,,,,0.732,,,1.041,,,1.245,,,0.693,,,0.271,,,SIN DATOS,,,SIN DATOS,,,SIN DATOS,,,SIN DATOS,,,SIN DATOS,,,SIN DATOS,,,SIN DATOS,,,SIN DATOS,,,SIN DATOS,,,SIN DATOS,,,1.925,,,1.632,,,1.405,,,2.908,,,SIN DATOS,,,SIN DATOS,,,SIN DATOS,,,SIN DATOS,,,SIN DATOS,,,SIN DATOS,,,SIN DATOS,,,SIN DATOS,,,,,,SIN DATOS,,,,,,SIN DATOS,,,SIN DATOS,,,SIN DATOS,
Caudal,m3/s,1.161,,,,,,0.044,,,11.002,,,7.58,,,,,,0.222,,,6.163,,,7.479,,,4.868,,,57.805,,,SIN DATOS,,,SIN DATOS,,,SIN DATOS,,,SIN DATOS,,,SIN DATOS,,,SIN DATOS,,,SIN DATOS,,,SIN DATOS,,,SIN DATOS,,,SIN DATOS,,,21.657,,,4.737,,,1.416,,,55.647,,,SIN DATOS,,,SIN DATOS,,,SIN DATOS,,,SIN DATOS,,,SIN DATOS,,,SIN DATOS,,,SIN DATOS,,,SIN DATOS,,,,,,SIN DATOS,,,,,,SIN DATOS,,,SIN DATOS,,,SIN DATOS,
Distancia al margen,,0.00,,,0.00,,,0.00,,,0.00,,,0.00,,,0.00,,,0.00,,,0.00,,,0.00,,,0.00,,,0.00,,,0.00,,,0.00,,,0.00,,,0.00,,,0.00,,,0.00,,,0.00,,,0.00,,,0.00,,,0.00,,,0.00,,,0.00,,,0.00,,,0.00,,,0.00,,,0.00,,,0.00,,,0.00,,,0.00,,,0.00,,,0.00,,,0.00,,,0.00,,,0.00,,,0.00,,,0.00,,,0.00,,,0.00,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Características físico/químicas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Conductividad en pasta,uS/cm ,460,,,460,,,1300,,,250,,,150,,,150,,,100,,,110,,,220,,,270,,,160,,,200,,,690,,,70,,,90,,,90,,,80,,,150,,,130,,,60,,,60,,,90,,,180,,,550,,,50,,,70,,,90,,,100,,,60,,,50,,,70,,,80,,,890,,,890,,,470,,,470,,,920,,,950,,,820,
Densidad Aparente,g/cm3 ,2.45,,,2.45,,,2.6,,,2.63,,,2.66,,,2.66,,,2.65,,,2.67,,,2.51,,,2.58,,,2.7,,,2.67,,,1.36,,,1.5,,,1.12,,,1.41,,,1.54,,,1.44,,,1.5,,,1.46,,,1.46,,,1.46,,,1.49,,,1.15,,,1.45,,,1.48,,,1.43,,,1.35,,,1.43,,,1.42,,,1.47,,,1.36,,,0.98,,,0.98,,,1.26,,,1.26,,,1.17,,,1.1,,,1.09,
Densidad Real,g/cm3 ,1.43,,,1.43,,,1.24,,,1.21,,,1.54,,,1.54,,,1.51,,,1.47,,,1.1,,,1.48,,,1.54,,,1.17,,,2.09,,,2.7,,,2.61,,,2.67,,,2.64,,,2.53,,,2.69,,,2.69,,,2.68,,,2.72,,,2.62,,,2.72,,,2.23,,,2.64,,,2.64,,,2.67,,,2.67,,,2.67,,,2.67,,,2.66,,,2.39,,,2.39,,,2.78,,,2.78,,,2.14,,,2.62,,,1.88,
Humedad,% ,26.1,,,26.1,,,63.5,,,41.2,,,18.6,,,18.6,,,21.6,,,17.2,,,33.5,,,22.7,,,19.4,,,19.4,,,27.38,,,19.9,,,23.1,,,23.5,,,23.6,,,27.2,,,17.9,,,22.3,,,40.5,,,19.3,,,23.7,,,36.6,,,21.58,,,23.31,,,27.7,,,27.2,,,22.9,,,23.8,,,22,,,25.4,,,39.42,,,39.42,,,29.92,,,29.92,,,33.4,,,35.7,,,37.3,
