site,n,al,as,cd,co,cr,cu,fe,mn,ni,pb,zn,season,unit,p_h,do_mg_l,sc_u_s_cm,low_net_acidity_mg_l_ca_co3,high_net_acidity_mg_l_ca_co3,sulfate_mg_l,q_l_s,ph_flag,flow_flag,cond_s_cm,ph_category,cond_category,flow_category,p_h_outlier,cond_s_cm_outlier,q_l_s_outlier,al_outlier,as_outlier,cd_outlier,co_outlier,cr_outlier,cu_outlier,fe_outlier,mn_outlier,ni_outlier,pb_outlier,zn_outlier
1C,1,273,0.57,12.4,2.28,0.03,1.76,796,18.3,2.92,0.211,4000,dry,mg_L,3,3.5,10440,9160,9870,NA,0.03,valid,valid,1500,Very Acidic (2-4),High (1500-3000),Low (<1 L/s),FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1C,1,273,0.57,12.4,2.28,0.03,1.76,796,18.3,2.92,0.211,4000,dry,mg_L,3,3.5,10440,9160,9870,NA,0.03,valid,valid,1500,Very Acidic (2-4),High (1500-3000),Low (<1 L/s),FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2C,1,461,29.6,7.19,4.05,0.09,10.8,6320,402,4.26,1.4,3050,dry,mg_L,3.3,0.8,9470,19300,24900,NA,0.01,valid,valid,1500,Very Acidic (2-4),High (1500-3000),Low (<1 L/s),FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
2C,1,461,29.6,7.19,4.05,0.09,10.8,6320,402,4.26,1.4,3050,dry,mg_L,3.3,0.8,9470,19300,24900,NA,0.01,valid,valid,1500,Very Acidic (2-4),High (1500-3000),Low (<1 L/s),FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
3C,1,752,34.4,35.9,3.93,0.13,12.9,2580,33.6,6.36,2.53,10800,dry,mg_L,3,4.08,19070,25400,27700,NA,0.01,valid,valid,1500,Very Acidic (2-4),High (1500-3000),Low (<1 L/s),FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
3C,1,752,34.4,35.9,3.93,0.13,12.9,2580,33.6,6.36,2.53,10800,dry,mg_L,3,4.08,19070,25400,27700,NA,0.01,valid,valid,1500,Very Acidic (2-4),High (1500-3000),Low (<1 L/s),FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
4C,1,648,40.7,21.2,2.51,0.22,84.9,3050,84.6,1.87,1.07,4500,dry,mg_L,3.2,4.4,8690,16300,19000,NA,0.13,valid,valid,1500,Very Acidic (2-4),High (1500-3000),Low (<1 L/s),FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
4C,1,648,40.7,21.2,2.51,0.22,84.9,3050,84.6,1.87,1.07,4500,dry,mg_L,3.2,4.4,8690,16300,19000,NA,0.13,valid,valid,1500,Very Acidic (2-4),High (1500-3000),Low (<1 L/s),FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
5C,1,1120,180,36.2,4.03,0.43,152,6410,51.7,2.55,17.5,10500,dry,mg_L,2.5,6.1,18640,34200,39900,NA,0.28,valid,valid,1500,Very Acidic (2-4),High (1500-3000),Low (<1 L/s),FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
5C,1,1120,180,36.2,4.03,0.43,152,6410,51.7,2.55,17.5,10500,dry,mg_L,2.5,6.1,18640,34200,39900,NA,0.28,valid,valid,1500,Very Acidic (2-4),High (1500-3000),Low (<1 L/s),FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
