site,n_samples,mean_ph,median_ph,mean_cond,mean_flow,ph_range,dominant_ph_category,site_type
4T,2,0.9,0.9,1500,0.03,0,Extremely Acidic (<2),Highly Acidic
7C,2,2.1,2.1,1500,0.05,0,Very Acidic (2-4),Highly Acidic
2A,2,2.3,2.3,1500,0.18,0,Very Acidic (2-4),Highly Acidic
5C,4,2.95,2.95,1500,0.28,0.8999999999999999,Very Acidic (2-4),Highly Acidic
1T,4,3,3,1500,0.49,0,Very Acidic (2-4),Acidic
1C,4,3.1,3.1,1500,0.04,0.20000000000000018,Very Acidic (2-4),Acidic
2T,3,3.1,3.1,1500,1.1,0,Very Acidic (2-4),Acidic
3C,4,3.1,3.1,1500,0.030000000000000002,0.20000000000000018,Very Acidic (2-4),Acidic
2C,4,3.2,3.2,1500,0.055,0.19999999999999973,Very Acidic (2-4),Acidic
3A,4,3.3,3.3,1500,0.045000000000000005,0.6000000000000001,Very Acidic (2-4),Acidic
4C,4,3.4000000000000004,3.4000000000000004,1500,0.155,0.3999999999999999,Very Acidic (2-4),Acidic
3T,4,6.45,6.45,1500,0.21500000000000002,0.09999999999999964,Slightly Acidic (6-7),Moderately Acidic
4A,2,6.9,6.9,1500,0.03,0,Slightly Acidic (6-7),Moderately Acidic
5A,2,6.9,6.9,1500,0.06,0,Slightly Acidic (6-7),Moderately Acidic
1Aa,1,NA,NA,1500,NA,-Inf,Extremely Acidic (<2),Variable
1Ab,1,NA,NA,1500,NA,-Inf,Extremely Acidic (<2),Variable
2Ab,1,NA,NA,1500,NA,-Inf,Extremely Acidic (<2),Variable
6C,1,NA,NA,1500,NA,-Inf,Extremely Acidic (<2),Variable
6Cb,1,NA,NA,1500,NA,-Inf,Extremely Acidic (<2),Variable
